event.event_id,Restaurant Id,Restaurant Name,restaurant.photos_url,event.title,event.start_date,event.end_date
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
316852.0,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Food Festival,2019-02-21,2019-05-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
321358.0,20747,India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Shah Jahani e Thali (3-4 packs),2019-03-04,2019-08-31
328527.0,18461760,Kankurgachi Dhaba,https://www.zomato.com/kolkata/kankurgachi-dhaba-kankurgachi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game Fever at DLKH!,2019-03-20,2019-07-31
328527.0,18461760,Kankurgachi Dhaba,https://www.zomato.com/kolkata/kankurgachi-dhaba-kankurgachi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game Fever at DLKH!,2019-03-20,2019-07-31
328527.0,18461760,Kankurgachi Dhaba,https://www.zomato.com/kolkata/kankurgachi-dhaba-kankurgachi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game Fever at DLKH!,2019-03-20,2019-07-31
337099.0,20404,Peter Cat,https://www.zomato.com/kolkata/peter-cat-park-street-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live Sports Screening,2019-04-09,2019-05-18
337096.0,18017615,What's Up,https://www.zomato.com/kolkata/whats-up-southern-avenue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishak,2019-04-14,2019-04-15
337102.0,18265479,BJs Sports Restrau Cum Lounge,https://www.zomato.com/kolkata/bjs-sports-restrau-cum-lounge-hazra/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishak Special,2019-04-14,2019-04-15
260569.0,18377098,CALCUTTA 64,https://www.zomato.com/kolkata/calcutta-64-sector-1-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Corporate Buffet Dinner,2019-01-02,2019-09-30
334818.0,18377112,Nawwarah Fine Dine & Lounge,https://www.zomato.com/kolkata/nawwarah-fine-dine-lounge-ballygunge/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Poila Baishakh Buffet ,2019-04-15,2019-04-15
286422.0,18591040,Hitchki,https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Customised Party Packages,2018-12-17,2019-04-30
337247.0,19008239,HAS South Bombay,https://www.zomato.com/mumbai/has-south-bombay-marol/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Celebrate Poila Boishak with Echoes,2019-04-15,2019-04-15
333108.0,18392711,Lord Of The Drinks,https://www.zomato.com/mumbai/lord-of-the-drinks-veera-desai-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
333108.0,18392711,Lord Of The Drinks,https://www.zomato.com/mumbai/lord-of-the-drinks-veera-desai-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
333108.0,18392711,Lord Of The Drinks,https://www.zomato.com/mumbai/lord-of-the-drinks-veera-desai-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
334920.0,18616378,Lord of the Drinks,https://www.zomato.com/mumbai/lord-of-the-drinks-lower-parel/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night,2019-04-11,2019-04-11
334922.0,18669432,HITCHKI,https://www.zomato.com/mumbai/hitchki-majiwada-thane-west-thane/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336892.0,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336898.0,36403,Prithvi Cafe,https://www.zomato.com/mumbai/prithvi-cafe-juhu/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zulfi Performing Live,2019-04-12,2019-04-13
298104.0,18691230,Grandmama's Café,https://www.zomato.com/mumbai/grandmamas-café-ghatkopar-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,HAPPY HOURS 1+1 ,2019-03-15,2019-04-30
298104.0,18691230,Grandmama's Café,https://www.zomato.com/mumbai/grandmamas-café-ghatkopar-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,HAPPY HOURS 1+1 ,2019-03-15,2019-04-30
336881.0,18254597,Brew and Barbeque - A Microbrewery Pub,https://www.zomato.com/bangalore/brew-and-barbeque-a-microbrewery-pub-marathahalli-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Juggy & Band Live,2019-04-10,2019-04-11
318235.0,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
318235.0,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
318235.0,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
